WEEK END DATE,VESSEL ID,NAME,AREA,GEAR,TARGET,HALIBUT,HERRING,RED KING CRAB,OTHER KING CRAB,BAIRDI TANNER,OTHER TANNER,CHINOOK,NON-CHINOOK,SAMPLED HAULS
1/1/22,7161,ALEUTIAN SABLE,BSAI,POT,Pacific Cod,0,0,0,0,1.19,0,0,0,1
1/1/22,35073,HALCYON,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,6
1/8/22,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,2.172,0,0,0,0,0.203,0,0,4
1/8/22,2841,ARCTIC LADY,BSAI,POT,Pacific Cod,1.965,0,0.048,0,32.581,1.402,0,0,4
1/8/22,4102,ALEUTIAN LADY,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,4
1/8/22,4578,SIBERIAN SEA,BSAI,HAL,Pacific Cod,0.524,0,0,0,0.231,0.493,0,0,6
1/8/22,4593,VIEKODA BAY,BSAI,POT,Pacific Cod,0.468,0,0,0,17.653,0,0,0,3
1/8/22,7161,ALEUTIAN SABLE,BSAI,POT,Pacific Cod,0,0,0,0,4.742,4.536,0,0,2
1/8/22,30102,NORTHERN ENDURANCE,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,1
1/8/22,33807,APRIL LANE,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,2
1/8/22,35073,HALCYON,BSAI,POT,Pacific Cod,0.113,0,0,0,0,0,0,0,10
1/15/22,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,3.337,0,0,0,0,0.342,0,0,3
1/15/22,2841,ARCTIC LADY,BSAI,POT,Pacific Cod,0.335,0,0,0,19.526,0.803,0,0,6
1/15/22,3672,FRONTIER MARINER,BSAI,HAL,Pacific Cod,5.817,0,0,0,0,0,0,0,1
1/15/22,3873,AUTOMATIC,GOA,HAL,Pacific Cod,90.684,0,0,0,0,0,0,0,3
1/15/22,4102,ALEUTIAN LADY,BSAI,POT,Pacific Cod,0,0,0.595,0,6.746,14.881,0,0,1
1/15/22,4450,FRONTIER EXPLORER,BSAI,HAL,Pacific Cod,50.589,0,0,0,0.177,0.141,0,0,4
1/15/22,4578,SIBERIAN SEA,BSAI,HAL,Pacific Cod,1.076,0,0,0,0.07,0.395,0,0,7
1/15/22,4593,VIEKODA BAY,BSAI,POT,Pacific Cod,0.068,0,0,0,15.598,0,0,0,6
1/15/22,4769,KEVLEEN K,BSAI,POT,Pacific Cod,0,0,0,0,0.873,0,0,0,7
1/15/22,4777,NAVIGATOR,GOA,HAL,Pacific Cod,0,0,0,0,0,0,0,0,1
1/15/22,5474,SUMMER BAY,BSAI,POT,Pacific Cod,0,0,0,0,0.123,0,0,0,6
1/15/22,5717,VALIANT,BSAI,POT,Pacific Cod,0,0,0.238,0,13.592,3.132,0,0,4
1/15/22,6323,BRISTOL LEADER,GOA,HAL,Pacific Cod,51.421,0,0,0,0,0,0,0,3
1/15/22,22938,RAVEN BAY,BSAI,POT,Pacific Cod,2.237,0,0,0,0,0,0,0,1
1/15/22,30102,NORTHERN ENDURANCE,BSAI,POT,Pacific Cod,5.571,0,0,0,0,0,0,0,4
1/15/22,31729,ICY MIST,BSAI,POT,Pacific Cod,0,0,0,0,0,0,0,0,4
1/15/22,33470,ARCTIC PROWLER,BSAI,HAL,Pacific Cod,0.65,0,0,0,0,1.083,0,0,4
1/15/22,33807,APRIL LANE,BSAI,POT,Pacific Cod,8.226,0,0,0,0,0,0,0,5
1/15/22,35424,ALEUTIAN ENDURANCE,BSAI,POT,Pacific Cod,16.434,0,0,0.075,0,0,0,0,4
1/22/22,208,NORTHERN DEFENDER,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,2
1/22/22,236,ROYAL ATLANTIC,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,2
1/22/22,372,U S  LIBERATOR,BSAI,HAL,Pacific Cod,4.474,0,0,0,0,0.422,0,0,7
1/22/22,425,ALASKAN DEFENDER,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,2
1/22/22,1222,VIKING,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,3
1/22/22,1650,WESTWARD I,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,3
1/22/22,1879,AMERICAN NO I,BSAI,NPT,Rock Sole,0.231,0,0,0,4.102,0,0,0,5
1/22/22,1879,AMERICAN NO I,BSAI,NPT,Yellowfin Sole,0,0,0,0,2.499,0,0,0,1
1/22/22,2110,CAPE HORN,BSAI,NPT,Yellowfin Sole,0.015,0,0,0,0,0,0,0,4
1/22/22,2134,OCEAN PEACE,BSAI,NPT,Yellowfin Sole,3.501,0,0,0,2.185,0.379,0,0,6
1/22/22,2733,SEAFREEZE ALASKA,BSAI,NPT,Atka Mackerel,1.562,0,0,0,0,0,0,0,8
1/22/22,2800,US INTREPID,BSAI,NPT,Yellowfin Sole,0.96,0,0,0,0,0,0,0,2
1/22/22,2833,ALASKA MIST,BSAI,HAL,Pacific Cod,21.77,0,0,0,0,0,0,0,3
1/22/22,2841,ARCTIC LADY,BSAI,POT,Pacific Cod,0,0,3.585,0,0.94,0.012,0,0,7
1/22/22,2943,ARCTIC STORM,BSAI,PTR,Midwater Pollock,0.063,0,0,0,0,0,10,0,10
1/22/22,3245,SEATTLE ENTERPRISE,BSAI,PTR,Midwater Pollock,0,0.313,0,0,0,0,4,1,3
1/22/22,3369,UNIMAK,BSAI,NPT,Yellowfin Sole,1.789,0,0,0,0.49,0.986,0,0,6
1/22/22,3396,ARCTIC FJORD,BSAI,PTR,Midwater Pollock,0.341,0,0,0,0,0,21,0,12
1/22/22,3442,OCEAN ROVER,BSAI,PTR,Midwater Pollock,1.247,0,0,0,0.004,0,20,2,9
1/22/22,3672,FRONTIER MARINER,BSAI,HAL,Pacific Cod,8.31,0,0,0,0.15,0.363,0,0,6
1/22/22,3673,FRONTIER SPIRIT,BSAI,HAL,Pacific Cod,29.902,0,0,0,0,0.247,0,0,8
1/22/22,3694,ARICA,BSAI,NPT,Pacific Cod,0.972,0.148,0,0,0,0,0,0,1
1/22/22,3694,ARICA,BSAI,NPT,Rock Sole,1.63,0,0,0,0,0,0,0,2
1/22/22,3694,ARICA,BSAI,NPT,Yellowfin Sole,1.339,0,0,0,0,0,0,0,3
1/22/22,3800,CAITLIN ANN,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,3
1/22/22,3870,ISLAND ENTERPRISE,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,5,0,3
1/22/22,3896,NORTHERN JAEGER,BSAI,PTR,Midwater Pollock,0.472,0,0,0,0,0,5,0,3
1/22/22,4092,CONSTELLATION,BSAI,NPT,Yellowfin Sole,4.235,0,0,0,0,3.385,0,0,3
1/22/22,4102,ALEUTIAN LADY,BSAI,POT,Pacific Cod,0,0,0.324,0,3.874,3.761,0,0,5
1/22/22,4194,PACIFIC PRINCE,BSAI,PTR,Midwater Pollock,0,0,0,0,0,0,0,0,3
1/22/22,4450,FRONTIER EXPLORER,BSAI,HAL,Pacific Cod,30.192,0,0,0,0.266,0.207,0,0,6
1/22/22,4578,SIBERIAN SEA,BSAI,HAL,Pacific Cod,2.32,0,0,0,0,0.098,0,0,6
